
Parent structure (123 P4/mmm)
a=3.92640, b=3.92640, c=15.18110, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x        y        z        occ  
O55   0.00000  0.75000  0.86882  0.0000  0.0000 -1.0000 
O51   0.00000  0.75000  0.36882  0.0000  0.0000 -1.0000 
O53   0.00000  0.25000  0.86882  0.0000  0.0000 -1.0000 
O49   0.00000  0.25000  0.36882  0.0000  0.0000 -1.0000 
O56   0.50000  0.75000  0.86882  0.0000  0.0000 -1.0000 
O52   0.50000  0.75000  0.36882  0.0000  0.0000 -1.0000 
O54   0.50000  0.25000  0.86882  0.0000  0.0000 -1.0000 
O50   0.50000  0.25000  0.36882  0.0000  0.0000 -1.0000 
O62   0.75000  0.00000  0.86882  0.0000  0.0000  1.0000 
O58   0.75000  0.00000  0.36882  0.0000  0.0000  1.0000 
O64   0.75000  0.50000  0.86882  0.0000  0.0000  1.0000 
O60   0.75000  0.50000  0.36882  0.0000  0.0000  1.0000 
O61   0.25000  0.00000  0.86882  0.0000  0.0000  1.0000 
O57   0.25000  0.00000  0.36882  0.0000  0.0000  1.0000 
O63   0.25000  0.50000  0.86882  0.0000  0.0000  1.0000 
O59   0.25000  0.50000  0.36882  0.0000  0.0000  1.0000 
O42   0.75000  0.00000  0.13118  0.0000  0.0000 -1.0000 
O46   0.75000  0.00000  0.63118  0.0000  0.0000 -1.0000 
O44   0.75000  0.50000  0.13118  0.0000  0.0000 -1.0000 
